,x,y
Amsterdam,0.013595757801623365,-0.168923748879362
Ashburn,-0.21524158199093335,-0.12594692937497176
Boydton,-0.2177418458783562,-0.11828181753698364
Des Moines,-0.26006799962194654,-0.1341501022577274
Dublin,-0.017389625612913295,-0.17209501874213717
Hong Kong,0.31713546035883133,-0.07199727743724227
Johannesburg,0.07790873384064534,0.0845288094912291
London,-0.00035499802751093323,-0.1661518312788305
Mumbai,0.20243693090621728,-0.06153508687072995
Northlake,-0.24415308803812202,-0.13521622441177794
Quincy,-0.3329220393217259,-0.15236772666015064
Sao Paulo,-0.12953622479847338,0.0759688647166793
Seoul,0.35271470714079356,-0.12118147624886288
Singapore,0.2883867311851045,-0.004361584764291826
Sydney,0.420023499869723,0.1092534886868472
Tokyo,0.38824506530547054,-0.1150973219530842
Toronto,-0.2205076638460342,-0.14081586570441473
border1,0.5,-0.5
border2,-0.5,0.5
splitend0,-0.49999722223765425,0.057681405759380355
splitend1,-0.49999722223765425,0.024562474097350573
splitend10,-0.4999972222376543,-0.12795746380970507
splitend11,-0.49999722223765425,-0.12611431187801592
splitend12,-0.49999722223765414,-0.11970582125514195
splitend2,-0.49999722223765425,0.10334387479759144
splitend3,-0.49999722223765414,-0.05619577097354522
splitend4,-0.49999722223765414,-0.08706778285485395
splitend5,-0.49999722223765425,-0.11815518623662413
splitend6,-0.49999722223765425,-0.1300350540920464
splitend7,-0.49999722223765425,-0.07081802703173867
splitend8,-0.4999972222376543,-0.12280602702793308
splitend9,-0.49999722223765425,-0.13579282321430397
splitstart0,0.4999972222376542,0.1388629438139486
splitstart1,0.4999972222376542,0.13704145123259132
splitstart10,0.4999972222376542,-0.11613665872609769
splitstart11,0.4999972222376542,-0.11806446293393447
splitstart12,0.4999972222376542,-0.01104898640092089
splitstart2,0.4999972222376542,0.11409717565518329
splitstart3,0.4999972222376542,0.04672516672472243
splitstart4,0.4999972222376542,0.04604757385754543
splitstart5,0.4999972222376542,-0.11308821862512675
splitstart6,0.4999972222376542,-0.1093218947472826
splitstart7,0.4999972222376542,-0.15633492339819033
splitstart8,0.4999972222376542,-0.11994569818705636
splitstart9,0.4999972222376542,-0.11448231751657079
